"id","processed","name_wd","name_rdl","name_pae","units_wd_id","units_rdl_id","value_min_PAE","value_max_PAE","value_min_RDL","value_max_RDL","value_null","asociado_id","group_id","group_sensor_id","import","required_rdl","required_pae","create_date"
"1846","PROCESSED","DIR-Azi_Contin"," ","","30","30","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1847","PROCESSED","DIR-BIT_RPM_Calc"," ","","8","8","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1848","PROCESSED","DIR-Build_rate"," ","","70","70","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1849","PROCESSED","DIR-Caliper"," ","","39","39","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1850","PROCESSED","DIR-Codigo_Actividad"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1851","PROCESSED","DIR-Codigo_IADC_Trep"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1852","PROCESSED","DIR-Cond_entrada_Trep"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1853","PROCESSED","DIR-Cond_salida_Trep"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1854","PROCESSED","DIR-Densidad_Lodo_(Prom)"," ","","15","15","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1855","PROCESSED","DIR-Diam_Boq_Central"," ","","39","39","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1856","PROCESSED","DIR-Diametro_Boq_1"," ","","39","39","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1857","PROCESSED","DIR-Diametro_Boq_2"," ","","39","39","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1858","PROCESSED","DIR-Diametro_Boq_3"," ","","39","39","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1859","PROCESSED","DIR-Diametro_Boq_4"," ","","39","39","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1860","PROCESSED","DIR-Diametro_Trepano"," ","","39","39","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1861","PROCESSED","DIR-Dist_al_plan"," ","","10","10","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
